NAME,NORTH,SOUTH
Kamal Sign ,26.4661,74.6292
Clock Tower,26.4683,74.6412
Miracle Stone,26.4433,74.6148
Alwar Gate,26.4458,74.6474
Jagjan House,26.4228,74.6552
Taragarh Fort,26.4433,74.6179
Akbar's Fort,26.4609,74.6336
Baradari,26.4701,74.6312
Anasagar Baradari,26.4706,74.6316
Madar Gate,26.4574,74.635
Ajmer Museum,26.4587,74.6555
Magazine,26.459,74.6322
Akbari Museum,26.4638,74.6332
Ajmer City,26.458,74.655
Art& Natural Science,26.4457,74.6553
Ana Sagar Lake,26.4754,74.6193
Lake Foy Sagar,26.4462,74.5799
Vijay Laxmi Park,26.4692,74.6377
Subash Park,26.4678,74.6324
ARV Group's Island,26.4738,74.6284
Ajmer Sharif Dargah,26.457,74.6277
Adhai Din ka Jhonpra,26.4552,74.6251
Ajmer Jain Temple,26.5079,74.6341
Nareli Jain Temple,26.4593,74.7035
Nasiyan Digamber Jain,26.4646,74.6318
Sai Baba Temple,26.4448,74.6323
Sri Panchkund Shiva,26.4822,74.573
