NAME,NORTH,EAST
Shilpgram,24.611,73.6616
Solar Observatory,24.6043,73.674
Crystal Gallery,24.5752,73.6834
Under the Sun Aquariam,24.6023,73.6796
Marvel Water Park,24.5359,73.6799
Musical Fountain,24.5712,73.6843
Jeel Water Park,24.6465,73.7307
City Palace,24.5764,73.6835
Monsoon Palace,24.5933,73.6392
Ambrai Ghat,24.5776,73.6799
Bagore ki Haveli,24.5816,73.6828
Lake Palace,24.5754,73.68
Jag Mandir Palace,24.5676,73.6778
Moti Magri,24.5996,73.6809
Ahar Cenotaphs,24.5864,73.7212
Vintage & Classic Car,24.5897,73.4213
Bhartiya Lok Kala Mandal,24.5945,73.6917
Science Museum,24.6073,73.6854
Saheliyon-ki-bari,24.603,73.6855
Lake Pichola,24.572,73.679
Fateh Sagar Lake,24.6014,73.6742
Gulab Bagh & Zoo,24.5755,73.6932
Sajjangarh Biological Park,24.5916,73.6522
Rajiv Gandhi Garden,24.5965,73.6619
Nehru Garden,24.9102,75.8191
Sajjangarh Wildlife Sanctury,24.5944,73.6416
Dewali Sunset Point,24.6089,73.6777
Jagdish Temple,24.5797,73.6838
Sahastra Bahu Temple,24.7352,73.7162
Neemach Mata Temple,24.6132,73.6759
Hanuman Ghat,24.5805,73.6803
Badi Masjid,24.588265,73.661
Karni Mata,24.5661,73.6892
